,SpeciesName,X,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023,X2024
1,Cockle,1,207.415,108.72,6.52,629.8985,9.096,48.3635,4.332,344.0775,280.098,349.391,0.7496,0,268.708,372.5608,217.4621,374.131,503.389,223.616,0.32,212.8503,98.3
2,Crayfish,21,80.223,30.9098,33.9057,16.37697,19.78405,27.67195,30.23911,25.26969,34.90215,34.18036,19.70728,13.93636,8.59882,10.04384,9.35565,19.71603,15.54235,46.50426,73.71379,70.36189,85.35858
3,Edible crab,41,13607.56625,9840.10745,9597.86325,7669.12353,7393.00795,6101.09463,8382.79433,6946.1576,6261.61414,6399.6329,7762.4821,7018.5892,9288.955519,8763.85119,7909.32322,8218.820495,6510.4225,7868.298155,7383.064215,8111.05937,8370.8127
4,King Scallop,61,2413.227677,1228.562144,595.98931,892.372826,1217.5034,2596.19015,1956.30225,2608.3925,2621.2675,2806.81725,2645.84496,2077.089,2236.89147,2580.06497,2306.28438,2350.23803,1940.64092,2766.62791,2252.3996,2470.79625,2599.2229
5,Lobster,81,855.55444,643.5768,611.04487,302.408,502.31405,431.38256,475.35175,257.07784,250.67377,372.9441,305.06399,371.64077,410.96979,418.808125,346.66067,490.536984,438.96376,628.197475,612.81985,630.98091,660.42887
6,Native oyster,101,543,94,233,291,88,327,349,100,100,214,265,153,190,168,150,150,,250,150,309,220
7,Queen scallop,141,110.311,75.03584,172.475265,27.596,4.418,2.9,0.405,25.26,11.94425,134.521,79.884,30.70544,201.0815,6.9205,4.939,3.491,1.2674,0.2195,823.6015,3.1215,1.028
8,Razor clams,161,400.6,404.263,546.756,355.47805,468.85735,230.03475,445.6715,532.39864,469.3725,852.1011,1011.6425,1264.95566,1127.09149,960.76404,1040.7463,783.49995,672.31998,759.45086,833.93182,868.21372,855.57337
9,Shore crab,181,266.1,27,46.295,91.121,72.12,232.6725,128.968,74.144,253.14832,30.473,55.8949,22.78667,165.19558,127.05515,117.96467,287.6862,153.72582,397.43517,640.067,672.04458,450.34624
10,Shrimp,201,415.677,153.8847,311.7955,324.5307,182.0232,223.86785,133.9814,110.66674,147.8038,171.61341,214.78966,296.4632,366.09365,283.43595,275.33622,432.87688,343.08084,342.7933,300.33236,232.17149,280.37448
11,Spider crab,221,181.868,146.23425,150.88925,67.5654,147.568,443.34135,414.5531,305.5995,403.7616,228.799,108.4356,195.6347,162.64248,144.36494,118.73995,416.78728,433.87416,536.76564,560.28759,426.594745,559.74913
12,Surf clam,241,27.691,0,5,14.165,33.96,25.605,25.157,36.496,15.656,36.924,66.443,49.075,50.764,45.09,47.344,43.765,11.72,1.62,27.31,26.464,23.724
13,Velvet crab,261,290.913,253.201,274.471,137.95584,260.06196,204.8135,342.3855,183.8752,168.6063,365.7725,176.1203,202.1695,276.77318,312.79394,212.83583,253.28054,241.34215,328.7902,310.30202,310.53159,366.08554
14,Whelk,281,2599.672,4153.88975,3144.6843,2739.53444,2097.4921,2163.3637,2974.7493,3174.185,3445.83118,2690.2417,3478.19336,5014.69667,5830.856443,4979.89897,4638.31309,5111.28643,5323.10676,5772.06704,6392.87333,5639.56944,4515.2068
