Year,Variable,krig_mean,simu_mean,delta%,simu_median,95% HDI inf,95% HDI sup,model,Zone effect,Likelihood
2017,Weight_Ensis_siliqua,3983.268748,NA,NA,NA,NA,NA,One-step,zone,EV
2017,Abundance+L-W_Ensis_siliqua,9097.156268,10229.37891,12.45,10225.431,9399.358937,11128.16924,One-step,zone,EV
2017,Weight_130_Inf_Ensis_siliqua,3987.223883,4404.769209,10.47,4397.609332,4007.529106,4864.254705,One-step,zone,EV
2017,Abundance+L-W_130_Inf_Ensis_siliqua,7894.952436,9010.37777,14.13,9015.505079,8301.477808,9812.793734,One-step,zone,EV
2017,Weight_150_Inf_Ensis_siliqua,2910.417357,3473.921946,19.36,3383.234504,2978.030014,4857.161945,One-step,zone,EV
2017,Abundance+L-W_150_Inf_Ensis_siliqua,5482.77622,6339.842663,15.63,6317.750561,5768.533959,6990.088875,One-step,zone,EV
2018,Weight_Ensis_siliqua,6010.396826,7043.550676,17.19,7047.451823,6481.754137,7644.122246,Two-steps,~zone,ML
2018,Abundance+L-W_Ensis_siliqua,5497.894354,6502.82347,18.28,6490.741266,5969.474715,7062.987464,Two-steps,~zone,ML
2018,Weight_130_Inf_Ensis_siliqua,5473.766191,6510.123099,18.93,6506.114825,5998.905946,7039.005437,Two-steps,~zone,ML
2018,Abundance+L-W_130_Inf_Ensis_siliqua,5043.459958,5995.63791,18.88,5999.068613,5491.772176,6516.63186,Two-steps,~zone,ML
2018,Weight_150_Inf_Ensis_siliqua,3780.93196,4428.261571,17.12,4421.833479,4009.154034,4854.529433,Two-steps,~zone,ML
2018,Abundance+L-W_150_Inf_Ensis_siliqua,3389.781579,4150.53775,22.44,4147.056962,3834.709552,4429.374236,Two-steps,~zone,ML
2019,Weight_Ensis_siliqua,6920.789287,8248.046559,19.18,8240.726134,7479.478315,9049.398436,Two-steps,~zone,ML
2019,Abundance+L-W_Ensis_siliqua,6936.293756,8227.594787,18.62,8242.536266,7344.07599,9034.955373,Two-steps,~zone,ML
2019,Weight_130_Inf_Ensis_siliqua,6602.30333,7961.520942,20.59,7963.546429,7215.492039,8687.438294,Two-steps,~zone,ML
2019,Abundance+L-W_130_Inf_Ensis_siliqua,6491.266548,7903.339918,21.75,7904.736363,7211.778635,8698.542237,Two-steps,~zone,ML
2019,Weight_150_Inf_Ensis_siliqua,4846.389717,5866.169251,21.04,5862.037288,5422.050488,6339.032938,Two-steps,~zone,ML
2019,Abundance+L-W_150_Inf_Ensis_siliqua,4714.210021,5759.110332,22.16,5764.499035,5265.171804,6187.359864,Two-steps,~zone,ML
2020,Weight_Ensis_siliqua,5954.69704,6866.228817,15.31,6800.423297,5889.389972,8254.613747,Two-steps,~zone,ML
2020,Abundance+L-W_Ensis_siliqua,6542.046282,7571.498466,15.74,7577.565623,7024.226431,8097.352575,Two-steps,~zone,ML
2020,Weight_130_Inf_Ensis_siliqua,5548.35815,6503.469986,17.21,6445.44882,5352.573251,7951.177711,Two-steps,~zone,ML
2020,Abundance+L-W_130_Inf_Ensis_siliqua,6087.408308,7215.862017,18.54,7211.409997,6666.181906,7721.806861,Two-steps,~zone,ML
2020,Weight_150_Inf_Ensis_siliqua,4728.071549,5523.262336,16.82,5498.698751,4431.868268,6788.12537,Two-steps,~zone,ML
2020,Abundance+L-W_150_Inf_Ensis_siliqua,5254.795313,6227.232523,18.51,6231.555322,5730.743043,6640.100326,Two-steps,~zone,ML
2021,Weight_Ensis_siliqua,8367.124472,10146.17978,21.26,10121.41872,9391.386504,10944.5205,Two-steps,~zone,ML
2021,Abundance+L-W_Ensis_siliqua,9145.358625,11026.83119,20.57,11068.01509,10109.71532,11961.54001,Two-steps,~zone,ML
2021,Weight_130_Inf_Ensis_siliqua,7606.61322,9234.988746,21.41,9215.751646,8561.623206,9968.747044,Two-steps,~zone,ML
2021,Abundance+L-W_130_Inf_Ensis_siliqua,7322.969023,9094.883494,24.2,9091.914204,8368.072116,9887.709914,Two-steps,~zone,ML
2021,Weight_150_Inf_Ensis_siliqua,6764.983475,8264.424916,22.16,8273.768475,7617.990856,8940.473595,Two-steps,~zone,ML
2021,Abundance+L-W_150_Inf_Ensis_siliqua,5974.474491,7554.79303,26.45,7550.858705,6860.224172,8218.465494,Two-steps,~zone,ML
2022,Weight_Ensis_siliqua,NA,NA,NA,NA,NA,NA,Two-steps,~zone,LS
2022,Abundance+L-W_Ensis_siliqua,9244.444692,10197.17537,10.31,10198.33052,8918.499629,11538.00687,Two-steps,~zone,LS
2022,Weight_130_Inf_Ensis_siliqua,NA,NA,NA,NA,NA,NA,Two-steps,~zone,LS
2022,Abundance+L-W_130_Inf_Ensis_siliqua,8449.190258,9371.752906,10.92,9364.471475,8026.056276,10665.64651,Two-steps,~zone,LS
2022,Weight_150_Inf_Ensis_siliqua,NA,NA,NA,NA,NA,NA,Two-steps,~zone,LS
2022,Abundance+L-W_150_Inf_Ensis_siliqua,6532.751895,7424.557515,13.65,7407.036745,6441.526855,8533.371715,Two-steps,~zone,LS
